AL_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CY_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics,TR_load_actual_entsoe_power_statistics,UK_UKM_load_actual_entsoe_power_statistics
798.22,8773,1451,10305,3434.73,6288,794,7786,65499.80612,4020.8,909,30085,8740.47,48752,6057.49,2102,5207.58,3722.44,41044,1350,738.9,823,355,631,14400,12566,19697.95918,6199,6690,4231,14139,1800,3495.58,34586.25,42811.9
875.02,8531,1511,10026,3591.51,6077,776,7639,63027.78571,3860.1,883.5,30311,8422.64,46099,6242.21,2201,5231.76,3591.43,41120,1334,713.3,808,376,656,14092,12559,19804.08163,6299,6991,4416,13648,1821,3559.63,35240.37,42523.67
853.25,7955,1504,9851,3458.68,6042,778,7474,60925.97959,3712.1,841.9,30796,8485.58,46080,5673.07,2284,5109.42,3472.33,40986,1309,695.9,785,377,657,13836,12385,19674.4898,6264,6559,4409,13188,1739,3444.01,34609.46,41749.79
769.68,7510,1351,9798,3241.66,5939,742,7187,57820.43878,3571.3,789.5,29622,8435.95,49270,5275.85,2167,4800.05,3413,37513,1173,677.1,715,356,647,13408,12214,18305.10204,6321,5850,4197,12529,1655,3234.49,33659.23,40727.1
636.79,6911,1215,9285,2900.2,5554,714,6710,53393.92857,3280.7,728.5,27103,7948.64,48112,4818.92,1924,4614.01,3195.72,34127,1068,646.1,633,332,615,12651,11736,16806.12245,5902,5458,3852,11866,1528,3081.83,32217.72,37319.35
548.9,6632,1081,8682,2650.77,5321,687,6373,50079.12245,3045.9,689.3,25847,7642.9,43087,4479.58,1666,4315.78,2857.35,30789,1016,611.7,589,307,556,11854,11276,15501.02041,5414,5218,3498,11368,1420,2951.03,31078.53,32589.17
507.36,6340,990,8355,2552.81,5283,653,6310,48181.20408,2921.8,672.6,24497,7557.89,41522,4328.17,1529,4092.81,2631.85,28506,984,589.3,566,272,509,11289,10962,14898.97959,4990,5080,3186,10958,1372,2848.87,30273.31,29248.89
498.49,6252,999,8079,2503.78,5353,620,6145,47032.41837,2874.7,660,23640,7500.35,39140,4276.04,1454,3913.49,2464.22,27481,975,570.8,558,255,481,11028,10713,14655.10204,4740,5029,2949,10830,1336,2792.68,29287.57,27863.96
493.77,6182,950,8012,2515.07,5730,590,6069,47204.52041,2856.9,634.1,23112,7420.54,37847,4241.9,1426,3861.89,2359.32,27005,960,586.5,541,247,444,10913,10583,14612.2449,4582,5066,2812,11000,1358,2779.55,28557.86,27308.59
487.9,6417,931,8074,2595.09,5467,565,6076,47798.88776,2840.5,662.6,23096,7685.17,37676,4344.54,1448,3903.04,2311.36,27249,994,594.8,560,242,406,10897,10523,14378.57143,4473,5089,2738,10982,1365,2796.98,26955.66,26549.68
519.02,7316,945,8362,2846.38,5176,548,6334,50650.4898,2988.8,774.7,23486,8424.96,39871,4505.35,1463,4106.78,2316.84,27944,1202,610.3,671,240,387,11036,10845,14664.28571,4504,5409,2833,11375,1429,2878.57,26486.32,26311.23
648.94,8644,1079,9048,3167.29,5821,537,7428,58187.09184,3530.1,910,25241,9000.25,44530,5066.87,1757,4760.87,2346.78,31695,1369,668.3,799,280,411,11878,11856,17229.59184,4502,6056,3210,12928,1653,3284.42,27831.87,27209.48
774.36,9582,1291,9708,3467.69,6513,527,8026,63837.40816,4081.1,1004.3,27630,9170.6,48916,5656.66,2057,5167.91,2660.81,38278,1480,778.2,906,331,452,13350,13104,19316.32653,4579,6491,3770,14602,1771,3501.34,31214.38,32405.3
840.54,9791,1383,9942,3604.93,6905,564,8380,66824.58163,4314.4,1031.1,29822,9346.06,51100,6022.25,2206,5248.09,3176.77,42633,1525,841.7,952,353,495,14266,13463,20411.22449,5242,6612,4021,15036,1847,3615.12,33097.74,38781.49
853.66,9807,1424,9784,3574.48,6985,610,8544,68103.14286,4360.9,1014.7,31095,9335.71,52343,6238.46,2249,5312.26,3523.54,44096,1534,868.1,956,362,528,14552,13438,20568.36735,6099,6652,4095,15128,1871,3689.84,33747.29,41661.14
850.75,9890,1438,9450,3551.52,7110,650,8421,69797.69388,4420.4,1003.4,31713,9412.17,52766,6378.65,2252,5401.5,3642.45,44692,1545,889.1,950,364,547,14516,13328,20496.93878,6367,6642,4153,15022,1876,3651.53,34063.65,42264.92
846.14,9840,1458,9415,3483.79,7321,669,8522,71269.41837,4419.1,992.9,32187,9358.08,53564,6474.41,2323,5446.81,3628.56,44579,1546,928.3,933,366,566,14435,13115,20925.5102,6364,6712,4205,14674,1933,3673.82,32570.01,41890.97
852.42,9439,1460,9152,3563.37,7010,674,8582,70116.83673,4302.6,1013.6,32504,9308.02,54023,6437.33,2332,5430.36,3616.66,42231,1565,896.1,955,366,589,14264,12836,21020.40816,6486,6796,4207,14744,1956,3678.6,32558.42,41424.56
842.22,9211,1463,9017,3520.81,6972,689,8491,68375.46939,4212.7,991.8,32315,9247.54,52701,6188.77,2297,5320.42,3618.18,42086,1545,893.1,951,367,577,14274,13103,20945.91837,6297,6684,4228,14196,1918,3634.06,34912.02,41068.81
799.53,9082,1494,8819,3517.72,6926,702,8216,66751.88776,4056.2,984,31263,9141.39,51617,5847.31,2217,5236.9,3559.09,43631,1527,898.3,937,363,633,14268,13058,20667.34694,6261,6635,4197,13988,1849,3563.82,35222.12,39869.26
757.84,8976,1465,8743,3501.73,6606,719,8156,65623.82653,3901.2,952.3,30380,9064.04,50083,5677.32,2156,5234.35,3507.4,43753,1488,888.4,915,359,615,14202,12946,20508.16327,6506,6647,4134,13864,1792,3512.02,35282.34,39230.48
743.98,8953,1421,8804,3488.24,6396,730,8087,64650.94898,3851.3,935.8,29989,9045.39,48604,5643.83,2126,5195.09,3459.69,43718,1456,885.8,890,356,568,14407,12796,20001.02041,6431,6576,4098,13816,1762,3485.49,35117.12,39145.33
749.37,8882,1378,9187,3599.76,6354,739,7869,64467.10204,3956.9,924.2,29817,8891.31,48324,5717.52,2118,5089.84,3479.01,42188,1429,846.7,870,356,554,14590,12633,19730.61224,6317,6572,4047,13722,1714,3458.87,34724.67,40286.45
769.34,8740,1389,9391,3640.36,6338,741,7493,63505.39796,3912.4,896.2,29314,8857,49091,5748.86,2097,4988.01,3555.18,40875,1387,871.3,843,355,583,14315,12564,19469.38776,6139,6554,4085,13660,1727,3414.53,34588.47,41118.46
786.6,8303,1457,9452,3643.29,6182,730,7352,62262.34694,3745.5,876.5,29075,8750.05,48081,5954.12,2111,4964.99,3494.86,40609,1356,858.3,823,358,623,14076,12417,19560.20408,6041,6606,4248,13328,1742,3435.29,34178.01,40861.77
855.09,7976,1490,9472,3673.36,5992,722,7158,59997.64286,3583.8,851.5,29289,8392.09,45811,6165.13,2196,4990.83,3363.27,40591,1326,796.9,790,380,645,13777,12211,19691.83673,6081,6892,4469,13208,1741,3468.95,34772.66,40042.71
847.11,7646,1475,9399,3489.17,6020,727,7089,58281.90816,3465.3,828.5,29855,8416.75,45528,5696.25,2241,4957.45,3219.38,40172,1316,793.6,773,376,647,13464,12024,19654.08163,6051,6550,4401,12697,1689,3364.06,34350.92,39289.04
763.31,7310,1333,9621,3262.65,5996,696,6702,55511.89796,3362.7,787.4,28883,8337.9,49123,5355.94,2139,4695.63,3167.02,36930,1209,791.2,720,356,643,13273,11987,18215.30612,6188,5891,4208,12192,1587,3170.66,33304.4,38378.39
649.28,6703,1204,9178,2932.9,5682,675,6290,51521.88776,3138.6,716.4,26820,7893.07,47629,4951.18,1923,4526.36,3108.66,33858,1107,753.3,639,338,606,12647,11746,16859.18367,5830,5453,3896,11702,1483,3034.1,31887.52,35319.39
565.73,6320,1085,8578,2708.46,5353,655,5808,48057.36735,2933.3,687.1,25470,7501.74,42004,4629.12,1694,4236.3,2856.92,30343,1031,715,602,318,537,14753,11228,15620.40816,5357,5163,3578,11108,1404,2900.99,30883.4,31114.27
519.37,6017,1014,8135,2621.03,5256,624,5640,45556.17347,2754.4,679.8,23993,7278.6,40273,4416.86,1536,4023.63,2640.89,28035,1009,672.1,582,295,497,14097,10827,14941.83673,4961,5084,3237,10780,1353,2767.06,29889.57,27809
509.16,5833,1001,7889,2573.62,5362,594,5618,44295.16327,2663.9,647.6,22879,7161.76,37487,4296.48,1464,3813.79,2435.46,26595,983,657.9,563,279,470,13602,10594,14589.79592,4670,5034,3040,10462,1316,2720.12,28897.07,26531.67
501.1,5710,950,7658,2562.37,5577,568,5580,43975.95918,2624.1,601,22401,7025.58,35597,4250.05,1442,3732.76,2332.03,25961,956,623.3,534,268,437,13401,10444,14421.42857,4477,5053,2838,10454,1297,2688.39,28057.69,25607.33
501.81,5705,930,7604,2578.48,5352,547,5546,43751.45918,2573.6,606.2,22016,7104.35,34936,4235.44,1442,3701.54,2263.19,25858,941,661.8,542,263,405,13330,10304,14014.28571,4395,4962,2737,10315,1282,2675.75,26610.09,24727.2
538.95,5977,934,7566,2688.45,5318,530,5363,43643.81633,2566.1,646.8,21795,7337.04,34981,4198.42,1424,3699.91,2255.57,25418,1014,667.6,584,263,394,13241,10239,13835.71429,4345,5026,2760,10104,1279,2639.73,25568.61,24164.43
630.59,6522,1015,7555,2904.91,4696,518,5760,45924.06122,2747.6,703.3,21947,7470.69,35929,4473.5,1573,4011.84,2225.02,26596,1154,673.4,659,273,414,13375,10443,15113.26531,4260,5425,3021,10552,1400,2774.08,26626.78,24034.84
736.68,7209,1199,7860,3167.82,4951,506,6264,49663.70408,3065.2,779,22439,7794.9,38397,4980.03,1792,4357.84,2331.3,30404,1268,618.5,742,320,446,13635,10979,16769.38776,4080,5730,3445,11418,1531,2968.15,28895.4,26185.5
827.36,7617,1334,8168,3328.34,5310,528,6690,53814.5102,3361.8,836.5,24355,8033.59,41526,5406.76,1957,4573.99,2625.05,33856,1354,665.8,802,338,490,13965,11571,18054.08163,4353,5966,3797,12238,1643,3141.17,30847.93,29553.12
872,7725,1407,8084,3341.54,5583,554,7033,56716.4898,3514.5,859.8,26513,8139.24,43907,5760.46,2053,4750.3,2989.67,35875,1384,669.1,822,359,532,14208,12066,19013.26531,4800,6050,3979,12756,1663,3287.9,32000.95,32620.74
881.23,7865,1416,7966,3306.98,5749,572,7236,58350.0102,3586.6,854.1,27891,8190.33,44831,5917.15,2084,4854.74,3244.32,36408,1396,670,826,365,543,14318,12253,19207.14286,5122,6063,4010,13090,1681,3356.25,32809.51,33452.73
880.82,7903,1432,7788,3286.4,5875,586,7394,59051.33673,3569.6,839.3,28477,8260.81,46094,6008.7,2132,4927.15,3340.31,35901,1388,669.2,819,367,559,14690,12289,19396.93878,5326,6083,4039,13237,1689,3404.35,32184.46,32648.27
881.24,7531,1439,7512,3315.05,6014,601,7241,57866.10204,3533.6,830.2,28576,8233.36,47973,6054,2131,4892.44,3349.17,34409,1373,718.8,812,372,591,14066,12189,19152.04082,5462,6046,4100,12956,1660,3353.46,32664.72,31887.51
872.02,7385,1440,7119,3248.02,6218,613,7123,55698.40816,3483.2,822.9,28605,8189.89,45333,5745.91,2073,4719.1,3353.8,33230,1347,714.5,807,374,610,13691,11981,18769.38776,5493,5929,4089,12632,1605,3285.38,33109.92,30735.51
834.07,7219,1467,6953,3240.72,6363,622,6936,54126.63265,3432.7,812.4,27711,8282.32,43770,5473.41,1985,4647.04,3277.93,32623,1322,703.5,799,371,676,13648,11881,17970.40816,5390,5903,3997,12462,1551,3180.99,32946.74,28717.38
803.43,7207,1447,7133,3265.99,6742,639,6865,53290.09184,3368.7,808.5,26324,8337.79,42454,5359.61,1931,4604.49,3167.59,32831,1313,694.9,790,364,658,13629,11847,17659.18367,5278,5933,3889,12371,1503,3122.77,32897.08,27013.07
785.08,7193,1414,7424,3325.88,6688,654,6762,52810.34694,3420,805.6,25418,8404.36,41507,5387.38,1912,4594.48,3116.11,32682,1302,676.7,785,354,603,13848,11833,17429.59184,5185,5930,3896,12432,1508,3114.14,32654.39,26791.1
789.17,7343,1370,7886,3387.2,5662,671,6459,53276.21429,3586.6,801.1,25033,8422.86,41831,5432.81,1898,4517.9,3144.32,33008,1291,686.4,778,349,593,14394,11946,17111.22449,5060,5903,3833,12516,1486,3072.54,33071.76,28231.96
781.75,7261,1373,8329,3407.81,5653,679,6329,53364.38776,3602.7,797.5,24929,8493.03,42847,5495.35,1896,4510.1,3240.98,33003,1279,688.7,766,352,608,15032,11956,16985.71429,5052,5974,3878,12620,1497,3051.29,33498.71,31135.15
825.99,7106,1433,8578,3451.96,5672,672,6293,52800.18367,3482.7,784.1,25213,8382.53,42232,5634.12,1921,4513.73,3249.53,33916,1253,713,755,368,642,15378,11984,16993.87755,5109,6131,4016,12574,1516,3060.95,32692.64,32861.89
898.1,7099,1484,8647,3531.64,5615,674,6247,51401.58163,3404.3,765.2,25760,8116.73,41122,5943.51,2027,4587.06,3159.13,33913,1238,710.9,736,386,666,15770,11904,17087.7551,5271,6436,4279,12408,1567,3106.76,33297,33331.89
862.15,6871,1479,8650,3359.75,5609,693,6366,49930.4898,3322,751.8,26643,8231.9,41552,5562.4,2110,4666.47,3015.86,33735,1237,702.8,726,380,656,15809,11649,17305.10204,5354,6135,4342,12156,1562,3131.63,32744.78,32840.73
759.12,6648,1339,8899,3161.27,5559,680,6181,48592.80612,3262.1,722.5,26166,8244.54,45535,5176.5,2036,4394.51,2918.77,31454,1138,749.5,684,360,635,15488,11478,16408.16327,5499,5598,4074,11898,1429,2977.61,31443.96,32746.76
634.33,6122,1218,8579,2893.97,5319,663,5786,45628.04082,3045.7,671.3,24954,7884.75,44922,4767.44,1851,4132.01,2894.32,28765,1053,728.2,617,343,609,14700,11284,15191.83673,5273,5139,3890,12568,1361,2837.3,30029.94,31758.62
560.48,5802,1089,8026,2620.35,5960,639,5362,42633.42857,2812,628.2,23338,7545.64,39948,4421.8,1613,3825.93,2684.31,26325,996,698,581,313,548,13687,10984,14022.44898,4894,4917,3542,10980,1265,2721.1,29065.47,28331.5
517.12,5415,1011,7608,2534.66,6254,604,5277,40325.14286,2690.8,606.4,21895,7353.88,38265,4209.82,1454,3654.51,2539.48,24382,968,674.7,561,279,506,13151,10717,13348.97959,4531,4794,3147,10547,1215,2615.22,28509.68,25688.73
510.17,5273,991,7412,2484.93,6513,572,5261,39069.7551,2607.2,600.4,20842,7168.74,35587,4105.22,1385,3490.06,2393.78,23130,955,657.3,549,257,472,12955,10626,13055.10204,4265,4704,2979,10272,1174,2547,27078.78,24709.97
471.83,5097,933,7219,2454.31,6330,546,5206,38361.79592,2583.8,572.1,20397,7116.43,33589,4038.57,1348,3410.82,2251.09,22578,932,607,523,247,439,12781,10439,12819.38776,4099,4678,2769,10024,1136,2551.08,26236.43,24044.15
457.46,5041,917,7064,2464.7,6060,526,5123,38025.14286,2516.1,573.7,20098,7067.21,32608,3989.37,1346,3359.78,2171.76,22479,914,578.7,524,240,402,12126,10214,12254.08163,3993,4528,2578,9969,1136,2526.78,24432.69,23263.45
482.62,5129,894,6996,2508.96,5983,515,4891,37645.87755,2486.5,607.3,20042,7218.9,31867,3875.85,1287,3311.47,2151.8,22307,970,554.1,557,243,379,12066,10180,12030.61224,3929,4477,2539,10098,1135,2491.29,23203.63,22554.27
562.62,5461,945,7028,2731.16,6055,517,5152,38871.33673,2618.5,656.1,19911,7345.5,32033,4074.98,1395,3550.22,2101.96,22018,1060,586.7,614,265,393,11287,10226,12779.59184,3892,4668,2719,10218,1189,2602.54,22520.59,21960.16
682.04,6012,1078,7211,3041.85,6207,542,5601,41611.65306,2868.6,723.6,19707,7629.24,33745,4472.84,1565,3892.64,2160.05,23801,1169,640.6,691,299,445,11492,10384,13751.02041,3724,4912,3048,10584,1306,2790.27,22883.47,22832.13
777.39,6340,1221,7434,3265.48,6458,629,6111,45299.61224,3144.6,776.9,20869,7847.93,36643,4806.99,1726,4164,2347.77,25797,1255,667.5,762,351,504,12628,10890,14944.89796,3855,5074,3381,11490,1418,3006.13,23776.2,24839.41
807.68,6613,1320,7680,3358.18,6742,723,6584,48171.65306,3342.1,806.3,22709,7993.92,39329,5193.75,1875,4395.02,2618.58,27568,1301,701.6,787,371,556,12819,11279,15860.20408,4118,5116,3686,12078,1509,3197.3,24915.79,27169.9
820.17,6806,1366,7762,3355.87,6946,770,6858,50020.86735,3489.3,809.7,24122,8139.29,41100,5491.69,1989,4562.71,2878.2,29199,1316,749.1,786,383,594,12654,11624,16431.63265,4444,5113,3804,12446,1527,3295.74,25885.31,29111.88
834.71,6982,1364,7841,3332.24,7142,784,7108,52073.7551,3549.8,803.8,24926,8153.94,42484,5655.17,2048,4610.09,3053.26,29699,1315,761.9,782,386,612,12632,11734,16545.91837,4747,5170,3915,12546,1586,3316.3,26063.48,29584.08
838.1,6705,1365,7603,3299.55,7130,783,6901,51872.54082,3539.1,798.3,25249,8088.06,44054,5567.42,2018,4573.19,3134.47,30037,1312,765.1,776,392,631,12799,11603,16575.5102,4964,5162,3925,12400,1550,3218.43,27067.91,29454.05
816.92,6655,1338,7609,3232.8,6986,794,6826,50311.9898,3517.4,792.9,25637,8064.48,41236,5175.75,1921,4445.85,3209.05,29054,1299,747.8,775,379,640,13137,11541,16436.73469,5092,5111,3844,12274,1493,3105.59,27396.97,29481.76
774.81,6551,1304,7707,3261.13,6840,804,6711,49547.67347,3464.9,788.2,25476,8044.9,39812,4862.1,1823,4448.49,3181.21,27962,1283,732.9,767,374,635,13341,11499,16196.93878,4913,5085,3689,12143,1434,3086.27,27707.51,28569.5
763.7,6626,1289,7506,3289.91,6761,824,6684,48903.78571,3471.4,792.6,24155,8039.8,38924,4786.2,1768,4446.74,3080.78,27978,1283,647.6,766,356,613,13712,11561,15891.83673,4810,5123,3581,12226,1398,3054.35,28194.81,27757.39
765.84,6807,1274,7707,3366.05,6757,822,6688,48893.15306,3566.7,799.1,23389,8125.31,38231,4800.09,1739,4426.49,3032.06,28839,1283,645.5,770,354,601,14125,11553,15694.89796,4677,5155,3557,12412,1408,3054.21,28734.02,28196.34
781,7003,1252,8149,3434.11,6393,818,6479,50274.83673,3799.7,804.6,23099,8229.11,38895,4872.4,1747,4404.32,3063.72,28803,1287,662.9,775,351,604,15121,11714,15679.59184,4569,5218,3528,12515,1423,3025.68,29823.88,30108.11
808.26,7164,1277,8412,3508.23,5459,797,6517,51848.06122,3803.7,811,23169,8306.89,40864,4993.8,1768,4417.2,3158.76,29865,1276,743.4,773,355,624,15363,11866,15817.34694,4600,5310,3584,12568,1454,3042.84,30714.98,32662.53
840.44,7013,1363,8725,3579.34,5516,763,6595,52077.52041,3651.7,807.5,23657,8247.89,41665,5242.63,1819,4462.29,3213.73,31108,1279,737.9,772,364,663,15597,12035,16068.36735,4718,5409,3719,12849,1512,3086.12,30727.67,34318.02
913.3,7061,1427,8804,3701,5641,753,6648,51843.30612,3507.1,791.4,24654,8008.45,41178,5665.92,1949,4619.37,3138.39,32096,1266,756.7,759,385,686,15450,12215,16227.55102,4934,5759,3985,12911,1547,3168.3,31351.65,35030.93
887.3,6891,1436,8767,3538.5,6091,757,6785,51673.63265,3367.7,766.8,26343,8227.48,41547,5351.12,2070,4676.36,3056.04,32894,1261,719.9,738,386,703,15510,12256,16767.34694,5154,5615,4189,12668,1519,3155.2,30920.21,34868.1
771.12,6771,1314,8833,3256.51,6082,731,6735,51457.86735,3262.4,737.3,26451,8263.62,45291,4995.38,2022,4379.95,3004.29,30982,1143,652.8,681,366,652,15544,12063,16279.59184,5396,5197,4085,12410,1457,3007.64,30096.52,34686.87
616.3,6282,1163,8443,2860.32,6174,704,6376,48207.28571,3054.4,666.1,24755,7911.03,44263,4607.22,1793,4075.88,2944.95,28295,1023,611.2,606,333,591,14678,11682,14925.5102,5199,4822,3780,11682,1347,2858.9,29254.66,33333.26
538.86,5998,1042,7914,2600.65,6307,670,6092,45737.12245,2900,623.2,22984,7645.12,39612,4271.51,1574,3813,2683.25,25943,976,599,572,297,528,13947,11063,13932.65306,4801,4614,3426,11075,1275,2791,28302.63,29899.05
499.57,5793,978,7699,2503.52,6442,630,6093,44032.61224,2801.2,613.3,21724,7513.13,37914,4083.5,1452,3668.54,2488.65,24293,955,633.6,558,270,497,13908,10600,13437.7551,4493,4508,3093,10919,1252,2650.96,27625.41,27262.36
492.68,5785,962,7537,2509.49,6413,594,5887,43366.76531,2777.9,595.5,20958,7364.88,35822,3999.87,1383,3537.5,2350.67,23756,950,562.5,557,255,464,13391,10387,13320.40816,4291,4466,2891,10742,1193,2616.7,26750.87,26251.01
477.75,5668,921,7477,2536.87,6381,565,5819,43564.29592,2775.2,575.6,20694,7370.97,34482,3956.53,1373,3506.39,2262.99,23406,934,577,539,245,432,13012,10340,13337.7551,4159,4428,2755,10512,1200,2594.45,25841.48,25549.33
486.69,5942,907,7606,2666.65,6223,543,5828,44747.90816,2758,605.5,20732,7623.29,34798,4000.08,1405,3568.45,2222.09,23817,974,589.3,568,240,403,13130,10255,13000,4123,4341,2633,10446,1231,2656.96,24448.88,24931.73
515.44,6827,934,7880,2995.08,6366,530,6104,48295.30612,2924.7,725.7,21269,8293.81,37233,4013.95,1441,3825.64,2226.61,25101,1194,614.5,679,245,392,13493,10436,13644.89796,4106,4469,2714,10984,1326,2767.44,24300.38,24637.89
637.37,8171,1076,8732,3348.88,5804,530,7232,56581.30612,3487.8,868.2,23513,8869.06,41983,4326.74,1781,4598.77,2253.17,29685,1369,687.2,807,280,448,13490,11561,16590.81633,4146,4812,3166,12992,1586,3220.97,26113.47,24373.12
773.68,9101,1278,9417,3594.08,6610,552,7862,63118.64286,4087.2,973.2,26415,9100.18,46485,4746.6,2049,5019.84,2545.23,36729,1495,773,903,326,522,14058,12881,19068.36735,4274,5170,3674,14980,1742,3443.1,30402.22,26027.07
834.6,9352,1379,9734,3691.31,7126,633,8166,66656.32653,4316.6,1015.8,29082,9302.67,49344,5209.03,2194,5145.14,3090.92,41460,1561,828.5,962,345,569,14045,13250,20423.46939,4952,5393,3993,15246,1833,3554.59,32698.57,28225.44
835.52,9440,1416,9703,3668.88,7311,721,8425,68002.83673,4428.1,1017.3,30521,9329.48,51074,5506.72,2265,5273.29,3469.66,43268,1577,842.5,970,362,590,13800,13118,21055.10204,5727,5459,4071,15122,1843,3619.7,33440.99,30654.3
853.53,9580,1405,9471,3642.82,7504,772,8415,69634.66327,4529.7,1015,31334,9330.73,51995,5744.47,2280,5360.72,3608.36,44113,1590,916,959,373,609,13971,13192,20911.22449,5992,5448,4136,15237,1854,3623.29,34209.47,32141.63
852.49,9646,1427,9406,3544.9,7719,786,8594,70612.45918,4551.4,1001.4,31769,9278.62,53108,5901.49,2361,5440.43,3630.58,44137,1589,911.6,941,377,612,13972,13191,21386.73469,6126,5456,4245,15407,1901,3679.37,33235.97,32387.59
847.06,9479,1455,9086,3604.74,7230,789,8745,70384.47959,4490,1019.4,32250,9262.01,53217,5907.93,2378,5479.18,3641.48,41644,1622,931.8,968,380,630,14078,13042,21496.93878,6260,5488,4199,15405,1935,3721.57,34078.4,32223.62
851.91,9472,1452,8985,3586.47,7296,798,8716,69977.60204,4513.2,1008.7,32103,9240.96,52408,5640.97,2356,5448.54,3647.19,41843,1608,924.7,964,384,634,14387,13018,21488.77551,6114,5412,4212,15195,1886,3667.23,35125.07,31445.14
811.07,9449,1496,9009,3630.05,7218,810,8478,69275.26531,4472,1002.2,31056,9163.1,51325,5386.24,2303,5474.78,3592.4,43207,1601,928.1,953,381,682,14183,13051,21138.77551,6104,5397,4125,15235,1875,3661.86,35254.38,30345.82
778.39,9304,1465,9043,3624.77,7144,818,8429,68292.63265,4288.3,971.8,30301,9092.85,50021,5280.91,2244,5467.63,3587.31,44200,1564,899.4,945,373,660,14264,12968,20963.26531,6250,5398,4107,14992,1824,3615.72,35381.65,29656.16
761.16,9255,1428,9268,3565.38,7012,811,8337,67051.83673,4237.1,951.3,29961,9044.4,48874,5298.82,2206,5377.88,3604.05,44405,1515,877.6,909,365,624,14714,12865,20653.06122,6190,5405,4009,14930,1801,3589.97,34992.64,30115.19
768.49,9300,1381,9651,3612.76,6853,806,8166,66634.03061,4429.5,928.6,29851,8920.98,48404,5409.58,2182,5291.27,3656.83,43295,1484,880.9,889,359,622,15637,12819,20278.57143,6219,5471,4007,14804,1763,3532.5,34475.89,32156.52
779.35,9098,1387,9967,3636.24,6838,790,7865,65808.79592,4319.5,905.8,29496,8912.02,50027,5532.05,2183,5226.15,3728.73,41896,1453,903,866,362,646,15892,12665,19905.10204,6081,5548,4035,14462,1758,3478.62,34240.57,34679.47
792.87,8733,1455,9971,3723.91,6676,761,7827,65246.9898,4093.5,885.1,29434,8851.45,48992,5753.27,2222,5174.83,3621.51,41986,1419,885,848,367,681,15585,12658,20014.28571,5967,5728,4161,14254,1800,3484.85,33931.64,36272.64
846.22,8437,1505,9887,3822.85,6418,749,7690,63143.06122,3895.1,866.6,29919,8515.64,46059,6057.58,2299,5184.16,3454.02,41552,1389,838.4,828,388,693,15755,12628,20040.81633,6124,6099,4345,13896,1796,3518.91,34662.3,36807.81
837.86,8050,1513,9650,3654.05,6337,749,7572,61054.88776,3748.5,825.2,30549,8490.36,45113,5616.17,2377,5130.51,3349.49,41063,1361,799.2,798,389,694,15453,12450,20036.73469,6154,5846,4493,13380,1751,3478.52,34323.47,36895.72
753.34,7593,1366,9647,3393.4,6168,722,7256,58242.66327,3596.8,760.6,29182,8411.39,48392,5300.71,2245,4809.98,3269.79,37377,1238,766.3,738,363,686,14312,12160,18776.53061,6255,5269,4241,12833,1613,3264.48,32955.68,36954.86
614.06,6920,1228,9257,3009.64,5921,699,6782,53577.71429,3291.6,701.4,26621,8001.19,46982,4866.82,1978,4605.74,3199.61,33843,1123,743.8,657,340,643,14084,11536,17071.42857,5845,4922,3971,11904,1536,3092.55,31758.25,35048.5
513.98,6560,1085,8682,2761.05,6870,668,6458,50346.06122,3042.9,668.3,24990,7695.2,41741,4545,1702,4317.4,2868.46,31050,1055,732.3,614,308,572,13434,10887,15853.06122,5336,4710,3554,11154,1398,2976.61,30513.79,30724.6
497.71,6254,1021,8397,2661.06,6892,625,6376,48468.59184,2934.6,646.5,23709,7482.65,40406,4388.88,1570,4112.84,2615.37,29394,1025,712.6,584,276,528,12740,10568,15120.40816,4915,4625,3226,10726,1335,2876.69,29685.24,27671.19
488.6,6136,1002,8172,2647.91,6789,587,6176,47401.19388,2879.4,632.7,22872,7342.77,38310,4304.39,1499,3903.63,2461.88,28254,1026,698.1,575,260,496,12554,10433,14785.71429,4664,4607,2981,11028,1292,2793.21,28893.27,26494.15
